record_id,canton_code,canton_name,report_month,as_of_date,tax_year,planned_monthly_chf,actual_receipt_chf,status,delivery_channel,reported_at,is_synthetic
SYN-AG-202303,AG,Aargau,2023-03-01,2026-08-12,2023,110848500.00,108853227.00,final,manual_csv,2023-04-05T08:30:00+02:00,true
SYN-AG-202304,AG,Aargau,2023-04-01,2026-08-12,2023,103241250.00,102312078.75,final,manual_csv,2023-05-05T08:30:00+02:00,true
SYN-AG-202305,AG,Aargau,2023-05-01,2026-08-12,2023,113022000.00,110648538.00,final,manual_csv,2023-06-05T08:30:00+02:00,true
SYN-AG-202306,AG,Aargau,2023-06-01,2026-08-12,2023,119542500.00,118107990.00,final,manual_csv,2023-07-05T08:30:00+02:00,true
SYN-AG-202307,AG,Aargau,2023-07-01,2026-08-12,2023,104328000.00,104015016.00,final,manual_csv,2023-08-05T08:30:00+02:00,true
SYN-AG-202308,AG,Aargau,2023-08-01,2026-08-12,2023,108675000.00,107044875.00,final,manual_csv,2023-09-05T08:30:00+02:00,true
SYN-AG-202309,AG,Aargau,2023-09-01,2026-08-12,2023,117369000.00,116664786.00,final,manual_csv,2023-10-05T08:30:00+02:00,true
SYN-AG-202310,AG,Aargau,2023-10-01,2026-08-12,2023,121716000.00,119525112.00,final,manual_csv,2023-11-05T08:30:00+01:00,true
SYN-AG-202311,AG,Aargau,2023-11-01,2026-08-12,2023,107588250.00,106619955.75,final,manual_csv,2023-12-05T08:30:00+01:00,true
SYN-AG-202312,AG,Aargau,2023-12-01,2026-08-12,2023,103241250.00,101073183.75,final,manual_csv,2024-01-05T08:30:00+01:00,true
SYN-AG-202401,AG,Aargau,2024-01-01,2026-08-12,2024,98868000.00,97879320.00,final,manual_csv,2024-02-05T08:30:00+01:00,true
SYN-AG-202402,AG,Aargau,2024-02-01,2026-08-12,2024,102238500.00,102136261.50,final,manual_csv,2024-03-05T08:30:00+01:00,true
SYN-AG-202403,AG,Aargau,2024-03-01,2026-08-12,2024,114597000.00,113107239.00,final,manual_csv,2024-04-05T08:30:00+02:00,true
SYN-AG-202404,AG,Aargau,2024-04-01,2026-08-12,2024,106732500.00,106305570.00,final,manual_csv,2024-05-05T08:30:00+02:00,true
SYN-AG-202405,AG,Aargau,2024-05-01,2026-08-12,2024,116844000.00,114974496.00,final,manual_csv,2024-06-05T08:30:00+02:00,true
SYN-AG-202406,AG,Aargau,2024-06-01,2026-08-12,2024,123585000.00,122719905.00,final,manual_csv,2024-07-05T08:30:00+02:00,true
SYN-AG-202407,AG,Aargau,2024-07-01,2026-08-12,2024,107856000.00,105806736.00,final,manual_csv,2024-08-05T08:30:00+02:00,true
SYN-AG-202408,AG,Aargau,2024-08-01,2026-08-12,2024,112350000.00,111226500.00,final,manual_csv,2024-09-05T08:30:00+02:00,true
SYN-AG-202409,AG,Aargau,2024-09-01,2026-08-12,2024,121338000.00,121216662.00,final,manual_csv,2024-10-05T08:30:00+02:00,true
SYN-AG-202410,AG,Aargau,2024-10-01,2026-08-12,2024,125832000.00,124196184.00,final,manual_csv,2024-11-05T08:30:00+01:00,true
SYN-AG-202411,AG,Aargau,2024-11-01,2026-08-12,2024,111226500.00,110781594.00,final,manual_csv,2024-12-05T08:30:00+01:00,true
SYN-AG-202412,AG,Aargau,2024-12-01,2026-08-12,2024,106732500.00,105024780.00,final,manual_csv,2025-01-05T08:30:00+01:00,true
SYN-AG-202501,AG,Aargau,2025-01-01,2026-08-12,2025,102564000.00,102051180.00,final,manual_csv,2025-02-05T08:30:00+01:00,true
SYN-AG-202502,AG,Aargau,2025-02-01,2026-08-12,2025,106060500.00,104257471.50,final,manual_csv,2025-03-05T08:30:00+01:00,true
SYN-AG-202503,AG,Aargau,2025-03-01,2026-08-12,2025,118881000.00,117929952.00,final,manual_csv,2025-04-05T08:30:00+02:00,true
SYN-AG-202504,AG,Aargau,2025-04-01,2026-08-12,2025,110722500.00,110833222.50,final,manual_csv,2025-05-05T08:30:00+02:00,true
SYN-AG-202505,AG,Aargau,2025-05-01,2026-08-12,2025,121212000.00,119878668.00,final,manual_csv,2025-06-05T08:30:00+02:00,true
SYN-AG-202506,AG,Aargau,2025-06-01,2026-08-12,2025,128205000.00,127948590.00,final,manual_csv,2025-07-05T08:30:00+02:00,true
SYN-AG-202507,AG,Aargau,2025-07-01,2026-08-12,2025,111888000.00,110321568.00,final,manual_csv,2025-08-05T08:30:00+02:00,true
SYN-AG-202508,AG,Aargau,2025-08-01,2026-08-12,2025,116550000.00,115967250.00,final,manual_csv,2025-09-05T08:30:00+02:00,true
SYN-AG-202509,AG,Aargau,2025-09-01,2026-08-12,2025,125874000.00,123734142.00,final,manual_csv,2025-10-05T08:30:00+02:00,true
SYN-AG-202510,AG,Aargau,2025-10-01,2026-08-12,2025,130536000.00,129491712.00,final,manual_csv,2025-11-05T08:30:00+01:00,true
SYN-AG-202511,AG,Aargau,2025-11-01,2026-08-12,2025,115384500.00,115499884.50,final,manual_csv,2025-12-05T08:30:00+01:00,true
SYN-AG-202512,AG,Aargau,2025-12-01,2026-08-12,2025,110722500.00,109504552.50,final,manual_csv,2026-01-05T08:30:00+01:00,true
SYN-AG-202601,AG,Aargau,2026-01-01,2026-08-12,2026,106260000.00,106260000.00,final,manual_csv,2026-02-05T08:30:00+01:00,true
SYN-AG-202602,AG,Aargau,2026-02-01,2026-08-12,2026,109882500.00,108563910.00,final,manual_csv,2026-03-05T08:30:00+01:00,true
SYN-AG-202603,AG,Aargau,2026-03-01,2026-08-12,2026,123165000.00,122795505.00,final,manual_csv,2026-04-05T08:30:00+02:00,true
SYN-AG-202604,AG,Aargau,2026-04-01,2026-08-12,2026,114712500.00,112991812.50,final,manual_csv,2026-05-05T08:30:00+02:00,true
SYN-AG-202605,AG,Aargau,2026-05-01,2026-08-12,2026,125580000.00,124826520.00,final,manual_csv,2026-06-05T08:30:00+02:00,true
SYN-AG-202606,AG,Aargau,2026-06-01,2026-08-12,2026,132825000.00,133223475.00,final,manual_csv,2026-07-05T08:30:00+02:00,true
SYN-AG-202607,AG,Aargau,2026-07-01,2026-08-12,2026,115920000.00,114876720.00,final,manual_csv,2026-08-05T08:30:00+02:00,true
SYN-AG-202608,AG,Aargau,2026-08-01,2026-08-12,2026,120750000.00,46741935.48,month_to_date,manual_csv,2026-08-12T09:15:00+02:00,true
SYN-AG-202609,AG,Aargau,2026-09-01,2026-08-12,2026,130410000.00,0.00,forecast,manual_csv,2026-08-12T09:15:00+02:00,true
SYN-AG-202610,AG,Aargau,2026-10-01,2026-08-12,2026,135240000.00,0.00,forecast,manual_csv,2026-08-12T09:15:00+02:00,true
SYN-AG-202611,AG,Aargau,2026-11-01,2026-08-12,2026,119542500.00,0.00,forecast,manual_csv,2026-08-12T09:15:00+02:00,true
SYN-AG-202612,AG,Aargau,2026-12-01,2026-08-12,2026,114712500.00,0.00,forecast,manual_csv,2026-08-12T09:15:00+02:00,true
